,PassengerId,Survived,Age,SibSp,Parch,Fare,Cabin_No,Cabin_Yes,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Age_scaled,Fare_scaled
91,92,0,20.0,0,0,7.8542,1,0,0,0,1,0,0,1,0,1,-0.7081989351528151,-0.4902797934380587
92,93,0,46.0,1,0,61.175,0,1,0,0,1,1,0,0,0,1,1.2004461700012707,0.5833178351003071
93,94,0,26.0,1,2,20.575,1,0,0,0,1,0,0,1,0,1,-0.26774237242494914,-0.23415046467497105
94,95,0,59.0,0,0,7.25,1,0,0,0,1,0,0,1,0,1,2.1547687225783134,-0.5024451714361923
95,96,0,30.70572677927052,0,0,8.05,1,0,0,0,1,0,0,1,0,1,0.07770233463071162,-0.4863374216869257
96,97,0,71.0,0,0,34.6542,0,1,1,0,0,1,0,0,0,1,3.0356818480340455,0.0493298231623713
97,98,1,23.0,0,1,63.3583,0,1,1,0,0,1,0,0,0,1,-0.4879706537888821,0.6272778976347743
98,99,1,34.0,0,1,23.0,1,0,0,0,1,0,1,0,1,0,0.31953304454553877,-0.18532384824750675
99,100,0,34.0,1,0,26.0,1,0,0,0,1,0,1,0,0,1,0.31953304454553877,-0.12491978668775715
100,101,0,28.0,0,0,7.8958,1,0,0,0,1,0,0,1,1,0,-0.12092351818232715,-0.4894421904510968
101,102,0,27.947206162930836,0,0,7.8958,1,0,0,0,1,0,0,1,0,1,-0.12479908351711029,-0.4894421904510968
102,103,0,21.0,0,1,77.2875,0,1,0,0,1,1,0,0,0,1,-0.634789508031504,0.907737982394129
103,104,0,33.0,0,0,8.6542,1,0,0,0,1,0,0,1,0,1,0.24612361742422778,-0.4741720436887921
104,105,0,37.0,2,0,7.925,1,0,0,0,1,0,0,1,0,1,0.5397613259094718,-0.4888542575852486
105,106,0,28.0,0,0,7.8958,1,0,0,0,1,0,0,1,0,1,-0.12092351818232715,-0.4894421904510968
106,107,1,21.0,0,0,7.65,1,0,0,0,1,0,0,1,1,0,-0.634789508031504,-0.494391296561559
107,108,1,27.51545426285116,0,0,7.775,1,0,0,0,1,0,0,1,0,1,-0.15649374316049675,-0.4918744606632361
108,109,0,38.0,0,0,7.8958,1,0,0,0,1,0,0,1,0,1,0.6131707530307827,-0.4894421904510968
109,110,1,33.55117590897664,1,0,24.15,1,0,0,1,0,0,0,1,1,0,0.2865851251452707,-0.1621689579829361
110,111,0,47.0,0,0,52.0,0,1,0,0,1,1,0,0,0,1,1.2738555971225816,0.39858208016340624
111,112,0,14.5,1,0,14.4542,1,0,1,0,0,0,0,1,1,0,-1.1119507843200256,-0.3573908580066095
112,113,0,22.0,0,0,8.05,1,0,0,0,1,0,0,1,0,1,-0.5613800809101931,-0.4863374216869257
113,114,0,20.0,1,0,9.825,1,0,0,0,1,0,0,1,1,0,-0.7081989351528151,-0.4505983519307405
114,115,0,17.0,0,0,14.4583,1,0,1,0,0,0,0,1,1,0,-0.928427216516748,-0.3573083057891445
115,116,0,21.0,0,0,7.925,1,0,0,0,1,0,0,1,0,1,-0.634789508031504,-0.4888542575852486
116,117,0,70.5,0,0,7.75,1,0,0,1,0,0,0,1,0,1,2.99897713447339,-0.49237782784290063
117,118,0,29.0,1,0,21.0,1,0,0,0,1,0,1,0,0,1,-0.047514091061016166,-0.22559322262067316
118,119,0,24.0,0,1,247.5208,0,1,1,0,0,1,0,0,0,1,-0.4145612266675711,4.335332226633905
119,120,0,2.0,4,2,31.275,1,0,0,0,1,0,0,1,1,0,-2.029568623336413,-0.01870931177853076
120,121,0,21.0,2,0,73.5,1,0,0,0,1,0,1,0,0,1,-0.634789508031504,0.8314778546749452
121,122,0,30.70572677927052,0,0,8.05,1,0,0,0,1,0,0,1,0,1,0.07770233463071162,-0.4863374216869257
122,123,0,32.5,1,0,30.0708,1,0,1,0,0,0,1,0,0,1,0.2094189038635723,-0.04295550208861426
123,124,1,32.5,0,0,13.0,0,1,0,0,1,0,1,0,1,0,0.2094189038635723,-0.3866707201133388
124,125,0,54.0,0,1,77.2875,0,1,0,0,1,1,0,0,0,1,1.7877215869717586,0.907737982394129
125,126,1,12.0,1,0,11.2417,1,0,1,0,0,0,0,1,0,1,-1.295474352123303,-0.42207354059350805
126,127,0,35.29582429902352,0,0,7.75,1,0,0,1,0,0,0,1,0,1,0.4146587639867299,-0.49237782784290063
127,128,1,24.0,0,0,7.1417,1,0,0,0,1,0,0,1,0,1,-0.4145612266675711,-0.5046257580584992
128,129,1,25.78337698412699,1,1,22.3583,0,1,1,0,0,0,0,1,1,0,-0.2836445439214776,-0.19824427701513722
129,130,0,45.0,0,0,6.975,1,0,0,0,1,0,0,1,0,1,1.1270367428799597,-0.5079822104125026
130,131,0,33.0,0,0,7.8958,1,0,1,0,0,0,0,1,0,1,0.24612361742422778,-0.4894421904510968
131,132,0,20.0,0,0,7.05,1,0,0,0,1,0,0,1,0,1,-0.7081989351528151,-0.5064721088735089
132,133,0,47.0,1,0,14.5,1,0,0,0,1,0,0,1,1,0,1.2738555971225816,-0.35646868933346404
133,134,1,29.0,1,0,26.0,1,0,0,0,1,0,1,0,1,0,-0.047514091061016166,-0.12491978668775715
134,135,0,25.0,0,0,13.0,1,0,0,0,1,0,1,0,0,1,-0.3411517995462601,-0.3866707201133388
135,136,0,23.0,0,0,15.0458,1,0,1,0,0,0,1,0,0,1,-0.4879706537888821,-0.3454791770670269
136,137,1,19.0,0,2,26.2833,0,1,0,0,1,1,0,0,1,0,-0.781608362274126,-0.11921562980779811
137,138,0,37.0,1,0,53.1,0,1,0,0,1,1,0,0,0,1,0.5397613259094718,0.4207302360686478
138,139,0,16.0,0,0,9.2167,1,0,0,0,1,0,0,1,0,1,-1.001836643638059,-0.4628462821463391
139,140,0,24.0,0,0,79.2,0,1,1,0,0,1,0,0,0,1,-0.4145612266675711,0.9462455716384695
140,141,0,25.344095833333334,0,2,15.2458,1,0,1,0,0,0,0,1,1,0,-0.31589192154643,-0.3414522396297103
141,142,1,22.0,0,0,7.75,1,0,0,0,1,0,0,1,1,0,-0.5613800809101931,-0.49237782784290063
142,143,1,24.0,1,0,15.85,1,0,0,0,1,0,0,1,1,0,-0.4145612266675711,-0.32928686163157667
143,144,0,19.0,0,0,6.75,1,0,0,1,0,0,0,1,0,1,-0.781608362274126,-0.5125125150294839
144,145,0,18.0,0,0,11.5,1,0,0,0,1,0,1,0,0,1,-0.855017789395437,-0.41687275089321363
145,146,0,19.0,1,1,36.75,1,0,0,0,1,0,1,0,0,1,-0.781608362274126,0.09152810056801232
146,147,1,27.0,0,0,7.7958,1,0,0,0,1,0,0,1,0,1,-0.19433294530363815,-0.49145565916975514
147,148,0,9.0,2,2,34.375,1,0,0,0,1,0,0,1,1,0,-1.5157026334872359,0.04370821849987721
148,149,0,36.5,0,2,26.0,0,1,0,0,1,0,1,0,0,1,0.5030566123488163,-0.12491978668775715
149,150,0,42.0,0,0,13.0,1,0,0,0,1,0,1,0,0,1,0.9068084615160267,-0.3866707201133388
150,151,0,51.0,0,0,12.525,1,0,0,0,1,0,1,0,0,1,1.5674933056078255,-0.39623469652696586
151,152,1,22.0,1,0,66.6,0,1,0,0,1,1,0,0,1,0,-0.5613800809101931,0.6925485130875209
152,153,0,55.5,0,0,8.05,1,0,0,0,1,0,0,1,0,1,1.897835727653725,-0.4863374216869257
153,154,0,40.5,0,2,14.5,1,0,0,0,1,0,0,1,0,1,0.7966943208340602,-0.35646868933346404
154,155,0,29.78279612980004,0,0,7.3125,1,0,0,0,1,0,0,1,0,1,0.009950524380384193,-0.5011867534870308
155,156,0,51.0,0,1,61.3792,1,0,1,0,0,1,0,0,0,1,1.5674933056078255,0.5874293382238074
156,157,1,16.0,0,0,7.7333,1,0,0,1,0,0,0,1,1,0,-1.001836643638059,-0.49271407711891657
157,158,0,30.0,0,0,8.05,1,0,0,0,1,0,0,1,0,1,0.025895336060294823,-0.4863374216869257
158,159,0,25.52340334377312,0,0,8.6625,1,0,0,0,1,0,0,1,0,1,-0.3027290599264969,-0.47400492578514347
159,160,0,10.869866956654466,8,2,69.55,1,0,0,0,1,0,0,1,0,1,-1.3784367714061623,0.7519458402879414
160,161,0,44.0,0,1,16.1,1,0,0,0,1,0,0,1,0,1,1.0536273157586487,-0.32425318983493084
161,162,1,40.0,0,0,15.75,1,0,0,0,1,0,1,0,1,0,0.7599896072734047,-0.331300330350235
162,163,0,26.0,0,0,7.775,1,0,0,0,1,0,0,1,0,1,-0.26774237242494914,-0.4918744606632361
163,164,0,17.0,0,0,8.6625,1,0,0,0,1,0,0,1,0,1,-0.928427216516748,-0.47400492578514347
164,165,0,1.0,4,1,39.6875,1,0,0,0,1,0,0,1,0,1,-2.102978050457724,0.1506737441786005
165,166,1,9.0,0,2,20.525,1,0,0,0,1,0,0,1,0,1,-1.5157026334872359,-0.2351571990343002
166,167,1,26.031882142857135,0,1,55.0,0,1,0,0,1,1,0,0,1,0,-0.265401922582407,0.4589861417231558
167,168,0,45.0,1,4,27.9,1,0,0,0,1,0,0,1,1,0,1.1270367428799597,-0.08666388103324908
168,169,0,49.554275595238074,0,0,25.925,1,0,0,0,1,1,0,0,0,1,1.4613635052789542,-0.12642988822675086
169,170,0,28.0,0,0,56.4958,1,0,0,0,1,0,0,1,0,1,-0.12092351818232715,0.48910360681684706
170,171,0,61.0,0,0,33.5,0,1,0,0,1,1,0,0,0,1,2.3015875768209355,0.026090367211616904
171,172,0,4.0,4,1,29.125,1,0,0,1,0,0,0,1,0,1,-1.8827497690937909,-0.06199888922968463
172,173,1,1.0,1,1,11.1333,1,0,0,0,1,0,0,1,1,0,-2.102978050457724,-0.4242561406845337
173,174,0,21.0,0,0,7.925,1,0,0,0,1,0,0,1,0,1,-0.634789508031504,-0.4888542575852486
174,175,0,56.0,0,0,30.6958,0,1,1,0,0,1,0,0,0,1,1.9345404412143805,-0.030371322596999754
175,176,0,18.0,1,1,7.8542,1,0,0,0,1,0,0,1,0,1,-0.855017789395437,-0.4902797934380587
176,177,0,7.309547041847048,3,1,25.4667,1,0,0,0,1,0,0,1,0,1,-1.6397978167207696,-0.13565761536436197
177,178,0,50.0,0,0,28.7125,0,1,1,0,0,1,0,0,1,0,1.4940838784865147,-0.07030444769415023
178,179,0,30.0,0,0,13.0,1,0,0,0,1,0,1,0,0,1,0.025895336060294823,-0.3866707201133388
179,180,0,36.0,0,0,0.0,1,0,0,0,1,0,0,1,0,1,0.46635189878816075,-0.6484216535389205
180,181,0,10.869866956654466,8,2,69.55,1,0,0,0,1,0,0,1,1,0,-1.3784367714061623,0.7519458402879414
181,182,0,31.718940476190475,0,0,15.05,1,0,1,0,0,0,1,0,0,1,0.15208177167307113,-0.34539461138084326
182,183,0,9.0,4,2,31.3875,1,0,0,0,1,0,0,1,0,1,-1.5157026334872359,-0.016444159470040135
183,184,1,1.0,2,1,39.0,0,1,0,0,1,0,1,0,0,1,-2.102978050457724,0.13683114673782454
184,185,1,4.0,0,2,22.025,1,0,0,0,1,0,0,1,1,0,-1.8827497690937909,-0.20495516825442542
185,186,0,46.2497682359308,0,0,50.0,0,1,0,0,1,1,0,0,0,1,1.2187815131140511,0.3583127057902398
186,187,1,33.12898535353537,1,0,15.5,1,0,0,1,0,0,0,1,1,0,0.25559235833429905,-0.3363340021468808
187,188,1,45.0,0,0,26.55,1,0,0,0,1,1,0,0,0,1,1.1270367428799597,-0.11384570873513637
188,189,0,40.0,1,1,15.5,1,0,0,1,0,0,0,1,0,1,0.7599896072734047,-0.3363340021468808
189,190,0,36.0,0,0,7.8958,1,0,0,0,1,0,0,1,0,1,0.46635189878816075,-0.4894421904510968
190,191,1,32.0,0,0,13.0,1,0,0,0,1,0,1,0,1,0,0.1727141903029168,-0.3866707201133388
191,192,0,19.0,0,0,13.0,1,0,0,0,1,0,1,0,0,1,-0.781608362274126,-0.3866707201133388
192,193,1,19.0,1,0,7.8542,1,0,0,0,1,0,0,1,1,0,-0.781608362274126,-0.4902797934380587
193,194,1,3.0,1,1,26.0,0,1,0,0,1,0,1,0,0,1,-1.956159196215102,-0.12491978668775715
194,195,1,44.0,0,0,27.7208,0,1,1,0,0,1,0,0,1,0,1.0536273157586487,-0.09027201697708476
195,196,1,58.0,0,0,146.5208,0,1,1,0,0,1,0,0,1,0,2.0813592954570024,2.301728820789
196,197,0,35.29582429902352,0,0,7.75,1,0,0,1,0,0,0,1,0,1,0.4146587639867299,-0.49237782784290063
197,198,0,42.0,0,1,8.4042,1,0,0,0,1,0,0,1,0,1,0.9068084615160267,-0.47920571548543794
198,199,1,35.29582429902352,0,0,7.75,1,0,0,1,0,0,0,1,1,0,0.4146587639867299,-0.49237782784290063
199,200,0,24.0,0,0,13.0,1,0,0,0,1,0,1,0,1,0,-0.4145612266675711,-0.3866707201133388
200,201,0,28.0,0,0,9.5,1,0,0,0,1,0,0,1,0,1,-0.12092351818232715,-0.45714212526638004
201,202,0,10.869866956654466,8,2,69.55,1,0,0,0,1,0,0,1,0,1,-1.3784367714061623,0.7519458402879414
202,203,0,34.0,0,0,6.4958,1,0,0,0,1,0,0,1,0,1,0.31953304454553877,-0.5176307525123133
203,204,0,45.5,0,0,7.225,1,0,1,0,0,0,0,1,0,1,1.1637414564406152,-0.5029485386158568
204,205,1,18.0,0,0,8.05,1,0,0,0,1,0,0,1,0,1,-0.855017789395437,-0.4863374216869257
205,206,0,2.0,0,1,10.4625,0,1,0,0,1,0,0,1,1,0,-2.029568623336413,-0.43776248884929375
206,207,0,32.0,1,0,15.85,1,0,0,0,1,0,0,1,0,1,0.1727141903029168,-0.32928686163157667
207,208,1,26.0,0,0,18.7875,1,0,1,0,0,0,0,1,0,1,-0.26774237242494914,-0.2701412180209885
208,209,1,16.0,0,0,7.75,1,0,0,1,0,0,0,1,1,0,-1.001836643638059,-0.49237782784290063
209,210,1,40.0,0,0,31.0,0,1,1,0,0,1,0,0,0,1,0.7599896072734047,-0.024246350754841113
210,211,0,24.0,0,0,7.05,1,0,0,0,1,0,0,1,0,1,-0.4145612266675711,-0.5064721088735089
211,212,1,35.0,0,0,21.0,1,0,0,0,1,0,1,0,1,0,0.39294247166684976,-0.22559322262067316
212,213,0,22.0,0,0,7.25,1,0,0,0,1,0,0,1,0,1,-0.5613800809101931,-0.5024451714361923
213,214,0,30.0,0,0,13.0,1,0,0,0,1,0,1,0,0,1,0.025895336060294823,-0.3866707201133388
214,215,0,31.09342985049901,1,0,7.75,1,0,0,1,0,0,0,1,0,1,0.10616339498276789,-0.49237782784290063
215,216,1,31.0,1,0,113.275,0,1,1,0,0,1,0,0,1,0,0.09930476318160582,1.6323350375212924
216,217,1,27.0,0,0,7.925,1,0,0,0,1,0,0,1,1,0,-0.19433294530363815,-0.4888542575852486
217,218,0,42.0,1,0,27.0,1,0,0,0,1,0,1,0,0,1,0.9068084615160267,-0.10478509950117394
218,219,1,32.0,0,0,76.2917,0,1,1,0,0,1,0,0,1,0,0.1727141903029168,0.8876878608937296
219,220,0,30.0,0,0,10.5,1,0,0,0,1,0,1,0,0,1,0.025895336060294823,-0.43700743807979686
220,221,1,16.0,0,0,8.05,1,0,0,0,1,0,0,1,0,1,-1.001836643638059,-0.4863374216869257
221,222,0,27.0,0,0,13.0,1,0,0,0,1,0,1,0,0,1,-0.19433294530363815,-0.3866707201133388
222,223,0,51.0,0,0,8.05,1,0,0,0,1,0,0,1,0,1,1.5674933056078255,-0.4863374216869257
223,224,0,27.947206162930836,0,0,7.8958,1,0,0,0,1,0,0,1,0,1,-0.12479908351711029,-0.4894421904510968
224,225,1,38.0,1,0,90.0,0,1,0,0,1,1,0,0,0,1,0.6131707530307827,1.163700193253568
225,226,0,22.0,0,0,9.35,1,0,0,0,1,0,0,1,0,1,-0.5613800809101931,-0.4601623283443675
226,227,1,19.0,0,0,10.5,1,0,0,0,1,0,1,0,0,1,-0.781608362274126,-0.43700743807979686
227,228,0,20.5,0,0,7.25,1,0,0,0,1,0,0,1,0,1,-0.6714942215921595,-0.5024451714361923
228,229,0,18.0,0,0,13.0,1,0,0,0,1,0,1,0,0,1,-0.855017789395437,-0.3866707201133388
229,230,0,7.309547041847048,3,1,25.4667,1,0,0,0,1,0,0,1,1,0,-1.6397978167207696,-0.13565761536436197
230,231,1,35.0,1,0,83.475,0,1,0,0,1,1,0,0,1,0,0.39294247166684976,1.0323213593611125
231,232,0,29.0,0,0,7.775,1,0,0,0,1,0,0,1,0,1,-0.047514091061016166,-0.4918744606632361
232,233,0,59.0,0,0,13.5,1,0,0,0,1,0,1,0,0,1,2.1547687225783134,-0.3766033765200472
233,234,1,5.0,4,2,31.3875,1,0,0,0,1,0,0,1,1,0,-1.8093403419724798,-0.016444159470040135
234,235,0,24.0,0,0,10.5,1,0,0,0,1,0,1,0,0,1,-0.4145612266675711,-0.43700743807979686
235,236,0,31.10838452380953,0,0,7.55,1,0,0,0,1,0,0,1,1,0,0.1072612089832795,-0.49640476528021726
